bus,sym_gen_type,sym_gen_dynamic_para
1,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
4,SM_2axis_wt_loc_load_cb_v6,gen_dynamic_paras_ieee_14_b
