timestamp,bus1_δ,bus1_ω,bus1_ed_dash,bus1_eq_dash,bus1_vm,bus1_vr1,bus1_vr2,bus1_vf_tilade,bus1_xg1,bus1_xg2,bus2_δ,bus2_ω,bus2_ed_dash,bus2_eq_dash,bus2_vm,bus2_vr1,bus2_vr2,bus2_vf_tilade,bus2_xg1,bus2_xg2,bus3_δ,bus3_ω,bus3_ed_dash,bus3_eq_dash,bus3_vm,bus3_vr1,bus3_vr2,bus3_vf_tilade,bus6_δ,bus6_ω,bus6_ed_dash,bus6_eq_dash,bus6_vm,bus6_vr1,bus6_vr2,bus6_vf_tilade,bus8_δ,bus8_ω,bus8_ed_dash,bus8_eq_dash,bus8_vm,bus8_vr1,bus8_vr2,bus8_vf_tilade,bus1_vh,bus2_vh,bus3_vh,bus4_vh,bus5_vh,bus6_vh,bus7_vh,bus8_vh,bus9_vh,bus10_vh,bus11_vh,bus12_vh,bus13_vh,bus14_vh,bus1_θh,bus2_θh,bus3_θh,bus4_θh,bus5_θh,bus6_θh,bus7_θh,bus8_θh,bus9_θh,bus10_θh,bus11_θh,bus12_θh,bus13_θh,bus14_θh,bus1_id,bus2_id,bus3_id,bus6_id,bus8_id,bus1_iq,bus2_iq,bus3_iq,bus6_iq,bus8_iq
0.56,1.353924,376.991144,0.753023,0.773156,1.059997,27.155354,0.440222,3.8616,2.324536,1.627183,0.263563,376.99114,0.261015,1.116709,1.044998,2.197171,0.214666,1.883036,0.400039,0.280034,-0.222125,376.99114,1.0e-6,1.074202,1.009998,1.545101,0.163937,1.438047,-0.248217,376.991136,-0.0,1.100768,1.069998,1.345784,0.145365,1.275137,-0.233189,376.991136,0.0,1.131811,1.089999,1.458622,0.156038,1.368759,1.059997,1.044998,1.009998,1.017668,1.019511,1.069998,1.061517,1.089999,1.05593,1.050983,1.056905,1.055187,1.05038,1.035528,4.0e-6,-0.086959,-0.222094,-0.179992,-0.153131,-0.248202,-0.233169,-0.23317,-0.260726,-0.263497,-0.258144,-0.263118,-0.264526,-0.279839,2.107451,0.522921,0.248278,0.118986,0.161687,0.624241,0.216379,-3.0e-6,-2.0e-6,-3.0e-6
0.64,1.353927,376.991158,0.753023,0.773155,1.059997,27.155356,0.440222,3.8616,2.324536,1.627191,0.263566,376.991156,0.261016,1.116709,1.044997,2.197173,0.214666,1.883037,0.400039,0.280043,-0.222123,376.99115,0.0,1.074202,1.009997,1.545102,0.163937,1.438048,-0.248214,376.991148,-1.0e-6,1.100768,1.069998,1.345785,0.145365,1.275138,-0.233187,376.991149,-0.0,1.131811,1.089999,1.458623,0.156038,1.36876,1.059997,1.044997,1.009997,1.017668,1.019511,1.069998,1.061517,1.089998,1.055929,1.050982,1.056904,1.055186,1.05038,1.035528,7.0e-6,-0.086957,-0.222091,-0.17999,-0.153128,-0.248199,-0.233166,-0.233167,-0.260723,-0.263494,-0.258142,-0.263115,-0.264524,-0.279837,2.107451,0.522921,0.248278,0.118986,0.161687,0.624241,0.216379,-2.0e-6,-2.0e-6,-2.0e-6
0.8,1.353931,376.991148,0.753022,0.773155,1.059997,27.155357,0.440222,3.8616,2.324535,1.627181,0.263572,376.991158,0.261016,1.116709,1.044997,2.197173,0.214666,1.883038,0.400039,0.28004,-0.222116,376.991158,-0.0,1.074202,1.009997,1.545102,0.163937,1.438049,-0.248208,376.991159,-1.0e-6,1.100768,1.069998,1.345785,0.145366,1.275139,-0.23318,376.99116,-1.0e-6,1.131811,1.089998,1.458623,0.156039,1.368761,1.059997,1.044997,1.009997,1.017668,1.019511,1.069998,1.061517,1.089998,1.055929,1.050982,1.056904,1.055186,1.05038,1.035528,1.2e-5,-0.086951,-0.222085,-0.179984,-0.153122,-0.248193,-0.23316,-0.233161,-0.260717,-0.263488,-0.258136,-0.263109,-0.264518,-0.279831,2.107446,0.522921,0.248277,0.118986,0.161687,0.624241,0.216379,-1.0e-6,-1.0e-6,-1.0e-6
0.96,1.353932,376.991124,0.753022,0.773155,1.059998,27.155351,0.440222,3.8616,2.324536,1.627166,0.263583,376.991187,0.261019,1.116708,1.044998,2.197168,0.214666,1.883038,0.400038,0.280053,-0.22211,376.991159,-0.0,1.074202,1.009998,1.545098,0.163937,1.43805,-0.248201,376.991161,-1.0e-6,1.100768,1.069999,1.345782,0.145366,1.275139,-0.233173,376.991162,-0.0,1.131811,1.089999,1.458621,0.156039,1.368761,1.059998,1.044998,1.009998,1.017669,1.019512,1.069999,1.061518,1.089999,1.05593,1.050983,1.056905,1.055187,1.05038,1.035528,1.7e-5,-0.086945,-0.222079,-0.179978,-0.153116,-0.248187,-0.233154,-0.233154,-0.260711,-0.263482,-0.258129,-0.263103,-0.264511,-0.279824,2.107429,0.522922,0.248274,0.118983,0.161685,0.624242,0.216386,-0.0,-0.0,-0.0
1.28,1.353972,376.991243,0.753021,0.773148,1.05999,27.155392,0.440222,3.8616,2.324533,1.627223,0.263576,376.991095,0.261008,1.116708,1.044991,2.197202,0.214667,1.883046,0.400039,0.280002,-0.222097,376.991159,-0.0,1.074201,1.009993,1.545124,0.163938,1.438057,-0.248188,376.991161,-0.0,1.100767,1.069994,1.345803,0.145366,1.275145,-0.23316,376.991161,-0.0,1.13181,1.089996,1.458636,0.156039,1.368765,1.05999,1.044991,1.009993,1.017663,1.019506,1.069994,1.061513,1.089996,1.055925,1.050978,1.0569,1.055183,1.050376,1.035524,3.6e-5,-0.08693,-0.222066,-0.179964,-0.153102,-0.248173,-0.23314,-0.233141,-0.260698,-0.263469,-0.258116,-0.26309,-0.264498,-0.279811,2.107495,0.522917,0.248291,0.118997,0.161695,0.624238,0.216356,0.0,0.0,0.0
1.562803,1.35393,376.990974,0.753023,0.773159,1.060006,27.155314,0.440222,3.861599,2.324537,1.627079,0.263646,376.991365,0.261035,1.116706,1.045006,2.197135,0.214666,1.883036,0.400035,0.280137,-0.222081,376.991175,-0.0,1.074203,1.010004,1.545074,0.163938,1.438049,-0.248172,376.991173,-0.0,1.100768,1.070003,1.345764,0.145366,1.27514,-0.233144,376.991172,-0.0,1.131811,1.090002,1.458608,0.156039,1.368761,1.060006,1.045006,1.010004,1.017675,1.019519,1.070003,1.061523,1.090002,1.055935,1.050988,1.05691,1.055192,1.050385,1.035533,4.0e-5,-0.086917,-0.222049,-0.179949,-0.153088,-0.248157,-0.233125,-0.233125,-0.260681,-0.263452,-0.2581,-0.263074,-0.264482,-0.279795,2.107338,0.522935,0.248256,0.11897,0.161675,0.624245,0.216433,-1.0e-6,-1.0e-6,-1.0e-6
1.655061,1.353903,376.990819,0.753024,0.773165,1.060015,27.155269,0.440222,3.861598,2.32454,1.626997,0.263683,376.991516,0.26105,1.116705,1.045014,2.197095,0.214666,1.88303,0.400032,0.280213,-0.222075,376.991183,-1.0e-6,1.074204,1.01001,1.545044,0.163938,1.438044,-0.248166,376.991179,-1.0e-6,1.100769,1.070008,1.34574,0.145366,1.275136,-0.233139,376.991177,-0.0,1.131812,1.090006,1.458591,0.156039,1.368759,1.060016,1.045015,1.01001,1.017683,1.019526,1.070008,1.061529,1.090006,1.055941,1.050994,1.056915,1.055197,1.05039,1.035539,3.9e-5,-0.086913,-0.222043,-0.179944,-0.153084,-0.248152,-0.233119,-0.23312,-0.260675,-0.263446,-0.258094,-0.263068,-0.264476,-0.279789,2.107247,0.522944,0.248236,0.118954,0.161664,0.624249,0.216476,-1.0e-6,-1.0e-6,-1.0e-6
1.703986,1.353883,376.990711,0.753025,0.773169,1.060022,27.155237,0.440222,3.861598,2.324541,1.62694,0.263708,376.991619,0.261061,1.116704,1.04502,2.197068,0.214666,1.883025,0.400031,0.280266,-0.222072,376.991188,-1.0e-6,1.074205,1.010015,1.545024,0.163938,1.438041,-0.248163,376.991183,-1.0e-6,1.10077,1.070011,1.345724,0.145366,1.275133,-0.233136,376.991181,-1.0e-6,1.131812,1.090008,1.458579,0.156039,1.368757,1.060022,1.045021,1.010015,1.017688,1.019531,1.070012,1.061533,1.090008,1.055945,1.050998,1.056919,1.0552,1.050394,1.035543,3.8e-5,-0.086911,-0.222039,-0.179941,-0.153081,-0.248148,-0.233116,-0.233117,-0.260672,-0.263443,-0.258091,-0.263064,-0.264472,-0.279785,2.107185,0.522951,0.248222,0.118943,0.161656,0.624251,0.216506,-2.0e-6,-1.0e-6,-1.0e-6
1.801836,1.353804,376.990308,0.753029,0.773186,1.060046,27.155116,0.440222,3.861595,2.324548,1.62673,0.263794,376.991999,0.2611,1.116701,1.045043,2.196963,0.214666,1.883007,0.400024,0.280461,-0.222063,376.991204,-1.0e-6,1.074208,1.010031,1.544946,0.163937,1.438027,-0.248156,376.991195,-1.0e-6,1.100773,1.070025,1.345663,0.145366,1.275122,-0.233129,376.991191,-1.0e-6,1.131814,1.090018,1.458535,0.156038,1.368748,1.060046,1.045043,1.010032,1.017707,1.019551,1.070025,1.061547,1.090018,1.055961,1.051013,1.056933,1.055214,1.050408,1.035558,2.8e-5,-0.086908,-0.22203,-0.179935,-0.153077,-0.24814,-0.233108,-0.233109,-0.260664,-0.263435,-0.258083,-0.263056,-0.264464,-0.279776,2.106952,0.522973,0.248169,0.118901,0.161626,0.624261,0.216616,-2.0e-6,-2.0e-6,-2.0e-6
1.899685,1.353651,376.989556,0.753035,0.773219,1.060091,27.154891,0.440222,3.861591,2.32456,1.626338,0.263949,376.992704,0.261173,1.116696,1.045084,2.19677,0.214665,1.882974,0.400013,0.280824,-0.222052,376.991229,-2.0e-6,1.074214,1.010063,1.544801,0.163936,1.437999,-0.248147,376.991212,-1.0e-6,1.100777,1.070049,1.345549,0.145365,1.2751,-0.23312,376.991205,-1.0e-6,1.131818,1.090035,1.458453,0.156038,1.368733,1.060092,1.045085,1.010063,1.017742,1.019588,1.070049,1.061575,1.090035,1.05599,1.051042,1.05696,1.055239,1.050433,1.035586,5.0e-6,-0.086907,-0.222018,-0.179928,-0.153073,-0.24813,-0.233099,-0.2331,-0.260654,-0.263424,-0.258072,-0.263045,-0.264454,-0.279765,2.106519,0.523016,0.248072,0.118825,0.161571,0.624279,0.216821,-4.0e-6,-3.0e-6,-2.0e-6
